#BioSample	Organism group	Scientific name	Isolation type	Location	Isolation source	Isolate	Antibiotic	Resistance phenotype	Measurement sign	MIC (mg/L)	Disk diffusion (mm)	Laboratory typing platform	Vendor	Laboratory typing method version or reagent	Testing standard	Create date
SAMN36015110	E.coli and Shigella	Escherichia coli	clinical	India: Anna Nagar, Chennai, TN	Urine of the patient	PDT001815336.1	ciprofloxacin	resistant	<	128	NA	NA	NA	NA	CLSI	2023-07-11T18:44:47Z
SAMN07988997	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	draining tract (Canis lupus familiaris)	PDT000271752.2	imipenem	not defined	<=	1	NA	Sensititre	Trek	96-Well Plate	CLSI	2017-12-13T20:44:04Z
SAMN11638310	E.coli and Shigella	Escherichia coli	clinical	India	urine	PDT000838265.1	ciprofloxacin	resistant	==	256	NA	NA	NA	96-Well Plate	CLSI	2020-09-17T10:25:21Z
SAMN05729964	E.coli and Shigella	Escherichia coli	clinical	Brazil: Santos	foot pad lesion	PDT000177245.1	ciprofloxacin	resistant	==	64	NA	Etest	Biomérieux	NA	CLSI	2017-01-10T16:56:08Z
SAMN18634044	E.coli and Shigella	Escherichia coli	environmental/other	USA:OH	Eye (Canis lupus familiaris)	PDT001001243.1	ciprofloxacin	not defined	<=	1	NA	Sensititre	Trek	96-Well Plate	CLSI	2021-04-07T03:27:03Z
SAMN26232716	E.coli and Shigella	Escherichia coli	clinical	Botswana: Kasane	faecal sample	PDT001463387.1	ciprofloxacin	resistant	==	2.5	NA	NA	NA	NA	CLSI	2022-10-21T09:52:16Z
SAMN26232716	E.coli and Shigella	Escherichia coli	clinical	Botswana: Kasane	faecal sample	PDT001463387.1	ciprofloxacin	intermediate	==	NA	20	NA	NA	NA	CLSI	2022-10-21T09:52:16Z
SAMN10620111	E.coli and Shigella	Escherichia coli	clinical	USA: Rochester, NY	urine	PDT000485910.1	ciprofloxacin	resistant	>=	4	NA	NA	NA	NA	CLSI	2019-04-03T01:01:56Z
SAMN10620168	E.coli and Shigella	Escherichia coli	clinical	USA: Rochester, NY	urine	PDT000485912.1	ciprofloxacin	resistant	>=	4	NA	NA	NA	NA	CLSI	2019-04-03T01:02:32Z
SAMN10620104	E.coli and Shigella	Escherichia coli	clinical	USA: Rochester, NY	urine	PDT000492385.1	ciprofloxacin	susceptible	<=	0.25	NA	NA	NA	NA	CLSI	2019-04-16T08:44:20Z
SAMN10620102	E.coli and Shigella	Escherichia coli	clinical	USA: Rochester, NY	urine	PDT000543107.1	ciprofloxacin	resistant	>=	4	NA	NA	NA	NA	CLSI	2019-07-12T10:50:36Z
SAMN10620129	E.coli and Shigella	Escherichia coli	clinical	USA: Rochester, NY	urine	PDT000543120.1	ciprofloxacin	resistant	>=	4	NA	NA	NA	NA	CLSI	2019-07-12T10:50:38Z
SAMN10620121	E.coli and Shigella	Escherichia coli	clinical	USA: Rochester, NY	urine	PDT000543216.1	ciprofloxacin	resistant	>=	4	NA	NA	NA	NA	CLSI	2019-07-12T10:50:49Z
